contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,p_holm18,significant_holm05
local_suppression,none,target_context_memory,drr_target,225,0.8435555555555556,0.6417777777777778,-0.20177777777777778,-0.2515555555555556,-0.15377777777777776,7.127424807529781e-12,1.2116622172800627e-10,True
local_suppression,none,target_context_memory,irr_target,195,0.7374358974358975,0.6143589743589745,-0.12307692307692308,-0.18461538461538463,-0.06153846153846154,0.00017026736614587768,0.0018729410276046546,True
local_suppression,none,target_context_memory,retention_target,225,0.7644444444444445,0.8106666666666665,0.04622222222222223,0.014222222222222223,0.07822222222222223,0.001558599671960124,0.012468797375680992,True
local_suppression,none,target_context_memory,drr_system,225,0.8746666666666667,0.7555555555555555,-0.11911111111111111,-0.16444444444444445,-0.07555555555555556,1.165350926192988e-06,1.5149562040508843e-05,True
local_suppression,none,target_context_memory,irr_system,195,0.7682051282051283,0.6902564102564104,-0.07794871794871794,-0.12205128205128206,-0.035897435897435895,0.0007636663313233101,0.0068729969819097915,True
local_suppression,none,target_context_memory,retention_system,225,0.8257777777777778,0.856,0.030222222222222216,0.0035555555555555557,0.057777777777777775,0.02410368206634783,0.144622092398087,False
communication_defense,target_context_memory,full_inference,drr_target,225,0.6417777777777778,0.4684444444444445,-0.17333333333333334,-0.22133333333333333,-0.12711111111111112,2.1692565430479929e-10,3.4708104688767886e-09,True
communication_defense,target_context_memory,full_inference,irr_target,195,0.6143589743589745,0.5446153846153846,-0.06974358974358974,-0.1005128205128205,-0.04205128205128205,9.976512188882236e-06,0.00011971814626658684,True
communication_defense,target_context_memory,full_inference,retention_target,225,0.8106666666666665,0.8044444444444444,-0.006222222222222224,-0.016888888888888887,0.002666666666666667,0.28585051315425625,1.0,False
communication_defense,target_context_memory,full_inference,drr_system,225,0.7555555555555555,0.7493333333333334,-0.006222222222222221,-0.024888888888888887,0.010666666666666668,0.9719058803018934,1.0,False
communication_defense,target_context_memory,full_inference,irr_system,195,0.6902564102564104,0.6871794871794872,-0.0030769230769230756,-0.015384615384615382,0.009230769230769235,0.8742208028604828,1.0,False
communication_defense,target_context_memory,full_inference,retention_system,225,0.856,0.8542222222222222,-0.0017777777777777779,-0.0071111111111111115,0.002666666666666667,0.49624247444426295,1.0,False
total_defense,none,full_inference,drr_target,225,0.8435555555555556,0.4684444444444445,-0.37511111111111106,-0.4328888888888889,-0.3182222222222222,1.6787425497304468e-21,3.0217365895148043e-20,True
total_defense,none,full_inference,irr_target,195,0.7374358974358975,0.5446153846153846,-0.19282051282051282,-0.25743589743589745,-0.1282051282051282,1.0933496609010685e-07,1.6400244913516027e-06,True
total_defense,none,full_inference,retention_target,225,0.7644444444444445,0.8044444444444444,0.04,0.007111111111111112,0.07288888888888889,0.00484686046665915,0.03392802326661405,True
total_defense,none,full_inference,drr_system,225,0.8746666666666667,0.7493333333333334,-0.12533333333333332,-0.17244444444444443,-0.08088888888888889,8.455861784233124e-07,1.1838206497926374e-05,True
total_defense,none,full_inference,irr_system,195,0.7682051282051283,0.6871794871794872,-0.08102564102564103,-0.12512820512820513,-0.03897435897435897,0.0005848828387975034,0.0058488283879750335,True
total_defense,none,full_inference,retention_system,225,0.8257777777777778,0.8542222222222222,0.028444444444444446,0.0008888888888888887,0.05688888888888889,0.046907091777480245,0.23453545888740124,False
